일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
2017-06-30,KAU16,"21,500",0,0,"21,500","21,500","21,500","4,581","98,491,500","21,500"
2017-06-29,KAU16,"21,500",500,2.38,"21,000","21,500","21,000","11,061","232,811,500","21,048"
2017-06-28,KAU16,"21,000",0,0,"21,000","21,000","21,000","33,231","697,851,000","21,000"
2017-06-27,KAU16,"21,000",0,0,0,0,0,"14,501","293,645,250","20,250"
2017-06-26,KAU16,"21,000",800,3.96,"21,000","21,000","21,000","45,358","918,626,000","20,253"
2017-06-23,KAU16,"20,200",-800,-3.81,"21,000","21,000","20,200","19,641","409,577,800","20,853"
2017-06-22,KAU16,"21,000",0,0,"21,000","21,000","21,000","21,396","449,316,000","21,000"
2017-06-21,KAU16,"21,000",0,0,"21,000","21,000","21,000","15,000","315,000,000","21,000"
2017-06-20,KAU16,"21,000",0,0,0,0,0,0,0,0
2017-06-19,KAU16,"21,000",0,0,0,0,0,0,0,0
2017-06-16,KAU16,"21,000",700,3.45,"21,000","21,000","21,000","17,721","372,141,000","21,000"
2017-06-15,KAU16,"20,300",-250,-1.22,"20,600","20,600","20,300","33,080","676,332,000","20,445"
2017-06-14,KAU16,"20,550",50,0.24,"20,500","20,550","20,500","3,184","65,385,800","20,536"
2017-06-13,KAU16,"20,500",250,1.23,"20,250","20,500","20,200","59,716","1,213,728,450","20,325"
2017-06-12,KAU16,"20,250",-250,-1.22,"20,500","20,600","20,250","132,855","2,708,635,900","20,388"
2017-06-09,KAU16,"20,500",0,0,"20,600","20,600","20,200","271,167","5,559,824,700","20,503"
2017-06-08,KAU16,"20,500",0,0,"20,500","20,500","20,500","371,889","7,623,724,500","20,500"
2017-06-07,KAU16,"20,500",-100,-0.49,"20,500","20,600","20,500","62,540","1,282,320,050","20,504"
2017-06-05,KAU16,"20,600",100,0.49,"20,500","20,600","20,500","18,350","376,815,300","20,535"
2017-06-02,KAU16,"20,500",-500,-2.38,"20,500","20,500","20,500","738,008","15,389,013,850","20,852"
2017-06-01,KAU16,"21,000",50,0.24,"21,000","21,000","20,950","430,577","9,016,703,550","20,941"
2017-05-31,KAU16,"20,950",100,0.48,0,0,0,"20,000","417,000,000","20,850"
2017-05-30,KAU16,"20,850",50,0.24,"20,850","20,850","20,850","40,500","845,425,000","20,875"
2017-05-29,KAU16,"20,800",0,0,"20,900","20,900","20,800","42,177","877,712,100","20,810"
2017-05-26,KAU16,"20,800",0,0,0,0,0,0,0,0
2017-05-25,KAU16,"20,800",100,0.48,0,0,0,"22,000","452,100,000","20,550"
2017-05-24,KAU16,"20,700",50,0.24,0,0,0,"50,682","1,046,583,300","20,650"
2017-05-23,KAU16,"20,650",0,0,"20,650","20,650","20,650",243,"5,017,950","20,650"
