일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
2021-08-10,KAU20,"22,500",0,0,0,0,0,0,0,0
2021-08-09,KAU20,"22,500",0,0,"20,500","22,500","20,500","226,969","5,014,088,000","22,092"
2021-08-06,KAU20,"22,500",100,0.45,"22,800","22,800","22,400","37,589","844,023,500","22,454"
2021-08-05,KAU20,"22,400",300,1.36,"23,300","24,000","22,400","52,577","1,233,108,000","23,453"
2021-08-04,KAU20,"22,100",-400,-1.78,"23,000","23,450","22,100","32,311","749,349,400","23,192"
2021-08-03,KAU20,"22,500",400,1.81,"22,400","22,700","22,400","8,158","183,774,700","22,527"
2021-08-02,KAU20,"22,100",200,0.91,"21,000","22,100","21,000","47,741","1,008,386,100","21,122"
2021-07-30,KAU20,"21,900",800,3.79,"21,200","21,900","21,100","19,086","410,644,000","21,515"
2021-07-29,KAU20,"21,100",-100,-0.47,"20,700","21,100","20,700","6,052","127,526,400","21,072"
2021-07-28,KAU20,"21,200",100,0.47,"21,000","21,200","20,900","5,447","114,537,000","21,028"
2021-07-27,KAU20,"21,100",100,0.48,"20,900","21,100","20,900","4,500","94,450,000","20,989"
2021-07-26,KAU20,"21,000",-100,-0.47,"20,700","21,000","20,700","3,000","62,550,000","20,850"
2021-07-23,KAU20,"21,100",100,0.48,"21,000","21,100","21,000","7,200","151,220,000","21,003"
2021-07-22,KAU20,"21,000",-400,-1.87,"21,200","21,200","21,000","15,000","315,250,000","21,017"
2021-07-21,KAU20,"21,400",0,0,"21,100","21,400","20,600","14,200","296,630,000","20,889"
2021-07-20,KAU20,"21,400",-100,-0.47,"21,400","21,500","21,350","14,450","309,247,500","21,401"
2021-07-19,KAU20,"21,500",100,0.47,"21,500","21,500","21,400","3,300","70,847,500","21,469"
2021-07-16,KAU20,"21,400",100,0.47,"21,500","21,500","21,300","3,200","68,440,000","21,388"
2021-07-15,KAU20,"21,300",100,0.47,"21,700","21,700","21,300","4,000","85,950,000","21,488"
2021-07-14,KAU20,"21,200",500,2.42,"20,700","21,800","20,700","46,957","1,005,006,900","21,403"
2021-07-13,KAU20,"20,700",700,3.5,"20,300","20,700","20,300","7,200","148,050,000","20,563"
2021-07-12,KAU20,"20,000",950,4.99,"20,450","20,450","20,000","4,542","91,363,400","20,115"
2021-07-09,KAU20,"19,050",1250,7.02,"17,800","19,050","17,800","8,303","154,373,400","18,592"
2021-07-08,KAU20,"17,800",500,2.89,"17,200","18,000","17,200","37,100","659,660,000","17,781"
2021-07-07,KAU20,"17,300",800,4.85,"16,500","17,300","16,500","10,530","177,949,000","16,899"
2021-07-06,KAU20,"16,500",400,2.48,"16,200","16,700","16,200","12,700","207,945,000","16,374"
2021-07-05,KAU20,"16,100",0,0,"16,200","16,200","16,000","8,000","128,700,000","16,088"
2021-07-02,KAU20,"16,100",100,0.63,"15,800","16,100","15,700","29,474","469,884,000","15,942"
2021-07-01,KAU20,"16,000",200,1.27,"15,500","16,000","15,250","9,521","148,754,700","15,624"
2021-06-30,KAU20,"15,800",1100,7.48,"14,500","15,800","13,250","85,975","1,187,898,300","13,817"
2021-06-29,KAU20,"14,700",-350,-2.33,"16,400","16,400","13,900","168,038","2,440,401,750","14,523"
2021-06-28,KAU20,"15,050",1350,9.85,"15,000","15,050","13,700","269,929","4,019,258,550","14,890"
2021-06-25,KAU20,"13,700",1000,7.87,"12,700","13,700","12,700","147,953","1,967,526,500","13,298"
2021-06-24,KAU20,"12,700",1150,9.96,"11,550","12,700","11,550","148,672","1,857,386,450","12,493"
2021-06-23,KAU20,"11,550",1050,10,"11,000","11,550","11,000","103,023","1,185,009,250","11,502"
2021-06-22,KAU20,"10,500",-300,-2.78,"10,000","10,500","9,750","187,709","1,919,990,320","10,229"
2021-06-21,KAU20,"10,800",-1150,-9.62,"11,850","11,850","10,800","224,027","2,413,898,830","10,775"
2021-06-18,KAU20,"11,950",-1050,-8.08,"13,700","13,700","11,700","170,823","2,084,739,900","12,204"
2021-06-17,KAU20,"13,000",-1400,-9.72,"14,000","14,000","13,000","240,464","3,163,760,200","13,157"
2021-06-16,KAU20,"14,400",-1050,-6.8,"16,000","16,000","14,400","183,732","2,789,468,050","15,182"
2021-06-15,KAU20,"15,450",-100,-0.64,"15,800","15,900","15,400","293,837","4,585,846,100","15,607"
2021-06-14,KAU20,"15,550",-100,-0.64,"14,500","16,200","14,500","36,772","583,221,200","15,860"
2021-06-11,KAU20,"15,650",150,0.97,"14,100","15,700","14,100","114,315","1,775,397,700","15,531"
2021-06-10,KAU20,"15,500",400,2.65,"15,100","15,900","15,100","193,786","3,033,849,200","15,656"
2021-06-09,KAU20,"15,100",950,6.71,"14,700","15,100","14,400","305,061","4,508,674,550","14,780"
2021-06-08,KAU20,"14,150",50,0.35,"14,100","14,150","13,950","324,272","4,543,679,750","14,012"
2021-06-07,KAU20,"14,100",0,0,"13,500","14,300","13,500","230,985","3,238,849,700","14,022"
2021-06-04,KAU20,"14,100",550,4.06,"13,050","14,100","13,050","193,598","2,621,039,750","13,539"
2021-06-03,KAU20,"13,550",-300,-2.17,"12,600","13,550","12,600","378,617","4,894,561,600","12,927"
2021-06-02,KAU20,"13,850",-1500,-9.77,"15,250","15,250","13,850","286,458","4,241,493,900","14,807"
2021-06-01,KAU20,"15,350",-1700,-9.97,"17,000","17,000","15,350","181,527","2,897,503,800","15,962"
2021-05-31,KAU20,"17,050",100,0.59,"17,000","17,050","16,950","100,056","1,701,419,300","17,005"
2021-05-28,KAU20,"16,950",-100,-0.59,"17,000","17,050","16,950","75,068","1,275,671,900","16,994"
2021-05-27,KAU20,"17,050",50,0.29,"16,900","17,050","16,900","176,447","2,998,437,250","16,993"
2021-05-26,KAU20,"17,000",0,0,"16,950","17,000","16,900","72,068","1,220,707,700","16,938"
2021-05-25,KAU20,"17,000",0,0,"16,950","17,050","16,950","106,163","1,804,571,000","16,998"
2021-05-24,KAU20,"17,000",-700,-3.95,"17,600","17,600","16,950","91,645","1,583,375,250","17,277"
2021-05-21,KAU20,"17,700",-100,-0.56,"17,800","17,800","17,700","33,980","603,063,500","17,748"
2021-05-20,KAU20,"17,800",-50,-0.28,"17,850","17,950","17,800","102,470","1,827,977,300","17,839"
2021-05-18,KAU20,"17,850",-100,-0.56,"17,950","17,950","17,850","50,800","908,770,000","17,889"
2021-05-17,KAU20,"17,950",-50,-0.28,"18,000","18,000","17,950","50,434","906,280,300","17,970"
2021-05-14,KAU20,"18,000",0,0,"18,000","18,000","18,000","55,500","999,000,000","18,000"
2021-05-13,KAU20,"18,000",100,0.56,"17,900","18,000","17,850","57,007","1,021,722,500","17,923"
2021-05-12,KAU20,"17,900",-50,-0.28,"17,950","17,950","17,900","59,500","1,067,925,000","17,948"
2021-05-11,KAU20,"17,950",-50,-0.28,"18,000","18,000","17,900","52,720","948,264,000","17,987"
2021-05-10,KAU20,"18,000",-300,-1.64,"17,900","18,200","17,900","25,059","453,450,500","18,095"
2021-05-07,KAU20,"18,300",0,0,"18,100","18,300","18,100","50,000","914,700,000","18,294"
2021-05-06,KAU20,"18,300",1250,7.33,"17,100","18,300","17,100","87,213","1,535,507,900","17,606"
2021-05-04,KAU20,"17,050",50,0.29,"17,400","17,400","17,050","69,500","1,182,450,000","17,014"
2021-05-03,KAU20,"17,000",-1300,-7.1,"17,100","17,500","17,000","16,500","295,350,000","17,900"
2021-04-30,KAU20,"18,300",0,0,"18,100","18,700","18,100","35,542","654,415,400","18,412"
2021-04-29,KAU20,"18,300",-800,-4.19,"18,100","18,300","18,100","78,308","1,470,704,800","18,781"
2021-04-28,KAU20,"19,100",-800,-4.02,"19,900","19,900","19,100","59,919","1,161,082,000","19,378"
2021-04-27,KAU20,"19,900",1100,5.85,"19,100","20,000","19,100","77,003","1,510,655,000","19,618"
2021-04-26,KAU20,"18,800",1050,5.92,"17,900","19,000","17,900","82,435","1,539,763,900","18,679"
2021-04-23,KAU20,"17,750",700,4.11,"17,300","17,750","17,300","48,523","852,665,100","17,572"
2021-04-22,KAU20,"17,050",350,2.1,"16,850","17,100","16,850","23,684","403,365,900","17,031"
2021-04-21,KAU20,"16,700",700,4.38,"16,300","16,700","16,300","53,352","886,870,800","16,623"
2021-04-20,KAU20,"16,000",300,1.91,"15,900","16,100","15,700","67,324","1,073,566,500","15,946"
2021-04-19,KAU20,"15,700",200,1.29,"15,500","16,000","15,500","67,968","1,063,373,000","15,645"
2021-04-16,KAU20,"15,500",500,3.33,"15,000","15,500","15,000","128,038","1,936,139,500","15,122"
2021-04-15,KAU20,"15,000",450,3.09,"14,500","15,000","14,500","46,746","685,765,700","14,670"
2021-04-14,KAU20,"14,550",0,0,"14,550","14,600","14,550","92,291","1,343,434,050","14,557"
2021-04-13,KAU20,"14,550",250,1.75,"14,300","14,800","14,300","74,700","1,079,683,500","14,454"
2021-04-12,KAU20,"14,300",-700,-4.67,"14,600","14,600","13,900","134,040","1,907,520,300","14,231"
2021-04-09,KAU20,"15,000",-800,-5.06,"14,950","15,200","14,850","89,000","1,330,330,000","14,948"
2021-04-08,KAU20,"15,800",-500,-3.07,"16,400","16,400","15,700","103,100","1,659,050,500","16,092"
2021-04-07,KAU20,"16,300",900,5.84,"16,500","16,500","16,000","63,920","1,042,360,000","16,307"
2021-04-06,KAU20,"15,400",-1350,-8.06,"15,950","15,950","15,200","149,927","2,342,455,500","15,624"
