일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
2020-09-11,KAU19,"19,500",-1350,-6.47,"19,500","19,800","19,500","1,983","39,028,500","19,682"
2020-09-10,KAU19,"20,850",-400,-1.88,"21,000","21,000","20,850","1,424","29,900,550","20,998"
2020-09-09,KAU19,"21,250",0,0,"20,000","21,500","20,000","15,604","320,217,800","20,522"
2020-09-08,KAU19,"21,250",250,1.19,0,0,0,0,0,0
2020-09-07,KAU19,"21,000",0,0,0,0,0,"100,680","2,114,280,000","21,000"
2020-09-04,KAU19,"21,000",-500,-2.33,"22,000","23,000","21,000","24,500","541,378,000","22,097"
2020-09-03,KAU19,"21,500",1500,7.5,"21,500","21,500","21,500","1,507","32,400,500","21,500"
2020-09-02,KAU19,"20,000",0,0,"20,000","20,000","20,000","13,269","265,380,000","20,000"
2020-09-01,KAU19,"20,000",50,0.25,"20,000","20,000","20,000","15,050","301,000,000","20,000"
2020-08-31,KAU19,"19,950",-1050,-5,"20,950","21,000","19,950","22,500","466,625,000","20,739"
2020-08-28,KAU19,"21,000",0,0,"21,000","21,100","21,000","58,582","1,231,722,000","21,026"
2020-08-27,KAU19,"21,000",0,0,"21,000","21,000","21,000","42,323","884,871,500","20,908"
2020-08-26,KAU19,"21,000",0,0,"21,000","21,000","21,000","20,000","420,000,000","21,000"
2020-08-25,KAU19,"21,000",0,0,"21,000","21,000","21,000","14,200","298,200,000","21,000"
2020-08-24,KAU19,"21,000",1150,5.79,"19,850","21,000","19,850","28,500","572,150,000","20,075"
2020-08-21,KAU19,"19,850",150,0.76,"19,700","19,850","19,700","10,500","207,825,000","19,793"
2020-08-20,KAU19,"19,700",700,3.68,"19,500","19,700","19,300","9,000","174,500,000","19,389"
2020-08-19,KAU19,"19,000",1200,6.74,"17,900","19,000","17,900","18,200","337,875,000","18,565"
2020-08-18,KAU19,"17,800",50,0.28,"17,750","17,800","17,750","10,000","177,625,000","17,763"
2020-08-14,KAU19,"17,750",50,0.28,"17,500","17,750","17,500","7,400","130,765,000","17,671"
2020-08-13,KAU19,"17,700",500,2.91,"17,800","17,800","17,700","4,500","79,950,000","17,767"
2020-08-12,KAU19,"17,200",100,0.58,"17,100","17,200","17,100","4,500","77,100,000","17,133"
2020-08-11,KAU19,"17,100",0,0,"17,100","17,100","17,100","4,500","76,950,000","17,100"
2020-08-10,KAU19,"17,100",50,0.29,"17,050","17,100","17,050","4,700","80,285,000","17,082"
2020-08-07,KAU19,"17,050",1550,10,"16,300","17,050","16,300","62,735","1,029,001,050","16,402"
2020-08-06,KAU19,"15,500",500,3.33,"15,000","15,500","15,000","7,449","114,226,200","15,334"
2020-08-05,KAU19,"15,000",-750,-4.76,"14,200","15,000","14,200","28,360","406,362,000","14,329"
2020-08-04,KAU19,"15,750",-1750,-10,"17,000","17,000","15,750","61,759","979,391,750","15,858"
2020-08-03,KAU19,"17,500",-1750,-9.09,"18,500","18,500","17,500","17,993","322,967,500","17,950"
2020-07-31,KAU19,"19,250",-650,-3.27,"19,550","19,550","18,500","50,905","974,365,000","19,141"
2020-07-30,KAU19,"19,900",-1100,-5.24,"20,900","20,900","19,900","63,520","1,273,294,000","20,046"
2020-07-29,KAU19,"21,000",-700,-3.23,"21,500","21,500","20,900","62,788","1,337,348,200","21,299"
