일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
2023-02-28,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-02-27,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-02-24,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-02-23,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-02-22,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-02-21,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-02-20,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-02-17,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-02-16,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-02-15,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-02-14,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-02-13,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-02-10,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-02-09,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-02-08,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-02-07,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-02-06,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-02-03,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-02-02,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-02-01,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-31,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-30,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-27,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-26,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-25,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-20,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-19,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-18,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-17,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-16,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-13,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-12,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-11,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-10,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-09,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-06,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-05,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-04,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-03,KAU23,"16,050",0,0,0,0,0,0,0,0
2023-01-02,KAU23,"16,050",0,0,0,0,0,0,0,0
