일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
2023-02-28,KAU22,"12,800",200,1.59,"12,800","12,950","12,700","121,300","1,553,935,000","12,811"
2023-02-27,KAU22,"12,600",-100,-0.79,"12,600","12,650","12,550","108,250","1,364,290,000","12,603"
2023-02-24,KAU22,"12,700",-150,-1.17,"12,900","12,900","12,700","70,900","902,790,000","12,733"
2023-02-23,KAU22,"12,850",50,0.39,"12,900","12,900","12,800","60,550","776,930,000","12,831"
2023-02-22,KAU22,"12,800",0,0,"12,900","12,900","12,750","63,099","809,262,200","12,825"
2023-02-21,KAU22,"12,800",0,0,"12,950","12,950","12,800","118,634","1,525,683,600","12,860"
2023-02-20,KAU22,"12,800",50,0.39,"12,800","12,900","12,750","102,201","1,311,572,100","12,833"
2023-02-17,KAU22,"12,750",-50,-0.39,"12,800","12,850","12,750","81,100","1,037,455,000","12,792"
2023-02-16,KAU22,"12,800",0,0,"12,950","12,950","12,800","103,654","1,331,386,200","12,845"
2023-02-15,KAU22,"12,800",-50,-0.39,"12,900","13,000","12,800","95,400","1,229,056,350","12,883"
2023-02-14,KAU22,"12,850",-50,-0.39,"13,000","13,000","12,850","91,533","1,183,799,000","12,933"
2023-02-13,KAU22,"12,900",0,0,"13,300","13,400","12,900","85,601","1,115,918,000","13,036"
2023-02-10,KAU22,"12,900",-400,-3.01,"13,550","13,550","12,900","36,255","473,373,250","13,057"
2023-02-09,KAU22,"13,300",300,2.31,"13,600","13,600","13,300","44,000","591,610,000","13,446"
2023-02-08,KAU22,"13,000",-200,-1.52,"12,900","13,000","12,850","60,794","786,661,800","12,940"
2023-02-07,KAU22,"13,200",-650,-4.69,"13,600","13,600","12,750","50,400","653,670,000","12,970"
2023-02-06,KAU22,"13,850",-150,-1.07,"13,950","14,000","13,850","47,200","657,085,000","13,921"
2023-02-03,KAU22,"14,000",-100,-0.71,"14,100","14,200","14,000","45,900","646,190,000","14,078"
2023-02-02,KAU22,"14,100",-650,-4.41,"14,600","14,700","14,000","59,051","851,329,150","14,417"
2023-02-01,KAU22,"14,750",-50,-0.34,"15,000","15,000","14,700","16,300","240,870,000","14,777"
2023-01-31,KAU22,"14,800",-200,-1.33,"15,000","15,150","14,500","92,170","1,375,862,500","14,927"
2023-01-30,KAU22,"15,000",150,1.01,"14,600","15,200","14,600","40,300","602,180,000","14,942"
2023-01-27,KAU22,"14,850",750,5.32,"14,100","14,900","14,100","57,600","838,440,000","14,556"
2023-01-26,KAU22,"14,100",-400,-2.76,"14,000","14,100","13,950","51,700","724,462,500","14,013"
2023-01-25,KAU22,"14,500",0,0,"13,600","14,850","13,600","31,310","453,643,500","14,489"
2023-01-20,KAU22,"14,500",350,2.47,"14,200","14,600","14,200","26,100","377,625,000","14,468"
2023-01-19,KAU22,"14,150",-350,-2.41,"14,500","14,500","13,950","31,420","441,853,500","14,063"
2023-01-18,KAU22,"14,500",-750,-4.92,"15,100","15,100","14,300","39,221","567,849,500","14,478"
2023-01-17,KAU22,"15,250",550,3.74,"15,650","15,650","15,000","22,200","337,635,000","15,209"
2023-01-16,KAU22,"14,700",-1150,-7.26,"15,950","16,000","14,700","53,590","827,310,500","15,438"
2023-01-13,KAU22,"15,850",250,1.6,"16,200","16,200","15,850","67,885","1,085,821,500","15,995"
2023-01-12,KAU22,"15,600",1100,7.59,"15,000","15,650","15,000","25,610","397,112,000","15,506"
2023-01-11,KAU22,"14,500",1300,9.85,"12,900","14,500","12,900","55,490","790,721,000","14,250"
2023-01-10,KAU22,"13,200",-100,-0.75,"13,000","13,200","12,500","101,502","1,310,345,600","12,910"
2023-01-09,KAU22,"13,300",150,1.14,"12,100","13,550","11,950","158,310","1,926,958,600","12,172"
2023-01-06,KAU22,"13,150",-150,-1.13,"13,200","13,200","12,900","34,800","452,505,000","13,003"
2023-01-05,KAU22,"13,300",-1300,-8.9,"14,500","14,500","13,200","24,600","333,970,000","13,576"
2023-01-04,KAU22,"14,600",-1050,-6.71,"15,300","15,450","14,600","33,000","494,230,000","14,977"
2023-01-03,KAU22,"15,650",-1150,-6.85,"16,600","16,600","15,650","40,510","659,415,000","16,278"
2023-01-02,KAU22,"16,800",800,5,"16,000","16,900","16,000","21,300","350,880,000","16,473"
2022-12-29,KAU22,"16,000",-400,-2.44,"16,700","16,900","16,000","235,308","3,889,410,600","16,529"
2022-12-28,KAU22,"16,400",1400,9.33,"15,500","16,450","15,500","136,926","2,205,312,100","16,106"
2022-12-27,KAU22,"15,000",1000,7.14,"14,100","15,400","14,100","80,466","1,207,767,900","15,010"
2022-12-26,KAU22,"14,000",0,0,"14,000","14,900","14,000","85,210","1,195,774,000","14,033"
2022-12-23,KAU22,"14,000",1200,9.38,"12,800","14,000","12,800","29,700","402,095,000","13,539"
2022-12-22,KAU22,"12,800",-100,-0.78,"12,700","12,800","12,550","111,865","1,415,552,000","12,654"
2022-12-21,KAU22,"12,900",-300,-2.27,"13,200","13,400","12,700","65,070","838,397,800","12,885"
2022-12-20,KAU22,"13,200",-800,-5.71,"13,600","13,800","13,000","102,302","1,363,027,200","13,324"
2022-12-19,KAU22,"14,000",-500,-3.45,"14,400","14,400","13,500","89,769","1,251,724,600","13,944"
2022-12-16,KAU22,"14,500",-200,-1.36,"14,700","14,700","14,250","63,900","924,900,000","14,474"
2022-12-15,KAU22,"14,700",-100,-0.68,"14,800","14,800","14,500","76,864","1,127,577,200","14,670"
2022-12-14,KAU22,"14,800",-200,-1.33,"15,000","15,000","14,600","66,808","991,223,750","14,837"
2022-12-13,KAU22,"15,000",0,0,"15,200","15,200","14,650","81,310","1,213,179,500","14,920"
