일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
2022-08-11,KAU21,"19,500",0,0,0,0,0,0,0,0
2022-08-10,KAU21,"19,500",0,0,0,0,0,0,0,0
2022-08-09,KAU21,"19,500",0,0,0,0,0,0,0,0
2022-08-08,KAU21,"19,500",1750,9.86,"18,000","19,500","17,000","7,459","138,024,300","18,504"
2022-08-05,KAU21,"17,750",1600,9.91,"15,000","17,750","15,000","10,886","184,909,400","16,986"
2022-08-04,KAU21,"16,150",1450,9.86,"14,900","16,150","14,900","45,697","731,875,650","16,016"
2022-08-03,KAU21,"14,700",-1250,-7.84,"14,400","15,000","14,400","97,110","1,410,617,200","14,526"
2022-08-02,KAU21,"15,950",-1750,-9.89,"17,800","17,800","15,950","13,507","221,174,600","16,375"
2022-08-01,KAU21,"17,700",-900,-4.84,"18,100","18,100","17,700","5,300","95,298,600","17,981"
2022-07-29,KAU21,"18,600",100,0.54,"18,100","18,600","18,100","14,761","271,676,300","18,405"
2022-07-28,KAU21,"18,500",0,0,"18,300","18,500","18,000","34,320","628,427,700","18,311"
2022-07-27,KAU21,"18,500",0,0,"18,000","18,500","18,000","25,187","461,866,000","18,337"
2022-07-26,KAU21,"18,500",1300,7.56,"18,500","18,500","18,200","31,700","585,850,000","18,481"
2022-07-25,KAU21,"17,200",350,2.08,"17,400","17,500","17,200","4,833","84,210,850","17,424"
2022-07-22,KAU21,"16,850",-1850,-9.89,"18,500","18,500","16,850","25,033","447,896,050","17,892"
2022-07-21,KAU21,"18,700",-600,-3.11,"19,300","19,300","18,700","12,500","235,550,000","18,844"
2022-07-20,KAU21,"19,300",-200,-1.03,"19,000","19,300","19,000","11,000","211,000,000","19,182"
2022-07-19,KAU21,"19,500",800,4.28,"19,100","20,000","19,100","18,000","355,800,000","19,767"
2022-07-18,KAU21,"18,700",100,0.54,"18,600","19,900","18,600","7,300","139,753,100","19,144"
2022-07-15,KAU21,"18,600",200,1.09,"17,900","18,600","17,900","6,058","110,274,800","18,203"
2022-07-14,KAU21,"18,400",900,5.14,"17,850","18,400","17,750","24,924","444,996,450","17,854"
2022-07-13,KAU21,"17,500",-500,-2.78,"17,600","17,600","16,200","23,385","389,182,000","16,642"
2022-07-12,KAU21,"18,000",-2000,-10,"19,300","19,300","18,000","12,130","226,922,000","18,708"
2022-07-11,KAU21,"20,000",-800,-3.85,"20,100","20,100","20,000","8,100","162,510,000","20,063"
2022-07-08,KAU21,"20,800",0,0,"20,800","20,800","20,800","5,205","108,264,000","20,800"
2022-07-07,KAU21,"20,800",-100,-0.48,"20,500","20,800","20,500","4,500","92,400,000","20,533"
2022-07-06,KAU21,"20,900",-50,-0.24,"20,800","20,900","20,800","3,500","73,000,000","20,857"
2022-07-05,KAU21,"20,950",150,0.72,"20,500","20,950","20,450","9,595","199,467,500","20,789"
2022-07-04,KAU21,"20,800",0,0,"20,800","20,800","20,700","3,000","62,300,000","20,767"
2022-07-01,KAU21,"20,800",0,0,"20,800","20,800","20,200","14,434","294,937,400","20,434"
2022-06-30,KAU21,"20,800",250,1.22,"18,550","21,000","18,500","122,310","2,411,163,700","19,714"
2022-06-29,KAU21,"20,550",1650,8.73,"18,900","20,550","18,900","113,612","2,252,271,750","19,824"
2022-06-28,KAU21,"18,900",950,5.29,"18,450","18,900","18,150","64,821","1,208,839,400","18,649"
2022-06-27,KAU21,"17,950",1250,7.49,"17,500","17,950","17,300","25,134","440,203,900","17,514"
2022-06-24,KAU21,"16,700",-350,-2.05,"18,000","18,000","15,350","108,306","1,713,282,650","15,819"
2022-06-23,KAU21,"17,050",-1850,-9.79,"19,000","19,050","17,050","95,715","1,677,294,550","17,524"
2022-06-22,KAU21,"18,900",-2100,-10,"20,000","20,500","18,900","53,718","1,047,674,100","19,503"
2022-06-21,KAU21,"21,000",1350,6.87,"21,600","21,600","21,000","152,641","3,277,220,800","21,470"
2022-06-20,KAU21,"19,650",1750,9.78,"19,650","19,650","19,650","36,999","727,030,350","19,650"
2022-06-17,KAU21,"17,900",1600,9.82,"17,900","17,900","17,900","96,620","1,729,498,000","17,900"
2022-06-16,KAU21,"16,300",1450,9.76,"16,300","16,300","16,300","85,290","1,390,227,000","16,300"
2022-06-15,KAU21,"14,850",1350,10,"13,800","14,850","13,800","62,863","921,504,250","14,659"
2022-06-14,KAU21,"13,500",150,1.12,"12,050","13,500","12,050","447,447","5,387,353,250","12,040"
2022-06-13,KAU21,"13,350",-1450,-9.8,"13,350","13,350","13,350","223,662","3,225,150,500","14,420"
2022-06-10,KAU21,"14,800",-1600,-9.76,"14,800","14,800","14,800","217,443","3,222,956,400","14,822"
2022-06-09,KAU21,"16,400",-1800,-9.89,"17,000","17,000","16,400","150,785","2,477,174,100","16,429"
2022-06-08,KAU21,"18,200",-1700,-8.54,"19,600","19,700","18,200","174,686","3,315,928,300","18,982"
2022-06-07,KAU21,"19,900",-100,-0.5,"19,400","19,900","19,400","119,377","2,352,753,500","19,709"
2022-06-03,KAU21,"20,000",-200,-0.99,"19,950","20,000","19,400","188,253","3,689,742,900","19,600"
2022-06-02,KAU21,"20,200",-2200,-9.82,"20,200","20,500","20,200","101,007","2,041,961,400","20,216"
2022-05-31,KAU21,"22,400",-150,-0.67,"22,550","22,600","22,400","122,299","2,717,683,900","22,222"
2022-05-30,KAU21,"22,550",150,0.67,"22,500","22,550","22,500","87,253","1,965,774,250","22,530"
2022-05-27,KAU21,"22,400",-50,-0.22,"22,450","22,550","22,350","42,698","957,764,500","22,431"
2022-05-26,KAU21,"22,450",850,3.94,"21,600","22,450","21,600","93,697","2,059,723,200","21,983"
2022-05-25,KAU21,"21,600",450,2.13,"21,250","21,750","21,250","56,218","1,214,475,600","21,603"
2022-05-24,KAU21,"21,150",400,1.93,"21,000","21,150","20,950","92,187","1,939,304,500","21,037"
2022-05-23,KAU21,"20,750",150,0.73,"20,500","20,800","20,500","91,444","1,884,452,950","20,608"
2022-05-20,KAU21,"20,600",100,0.49,"20,450","20,650","20,450","58,280","1,198,446,200","20,564"
2022-05-19,KAU21,"20,500",100,0.49,"20,400","20,550","20,400","48,811","1,000,602,850","20,500"
2022-05-18,KAU21,"20,400",-650,-3.09,"20,600","20,600","20,400","94,465","1,935,050,100","20,484"
2022-05-17,KAU21,"21,050",1050,5.25,"20,000","21,150","19,950","63,955","1,294,940,000","20,248"
2022-05-16,KAU21,"20,000",0,0,"20,000","20,000","19,900","78,801","1,574,210,000","19,977"
2022-05-13,KAU21,"20,000",-300,-1.48,"20,000","20,000","19,800","47,889","955,155,000","19,945"
2022-05-12,KAU21,"20,300",-100,-0.49,"20,200","20,400","20,200","39,253","798,945,700","20,354"
2022-05-11,KAU21,"20,400",0,0,"20,350","20,400","20,350","22,800","464,001,650","20,351"
2022-05-10,KAU21,"20,400",-100,-0.49,"20,400","20,400","20,300","128,081","2,620,936,800","20,463"
2022-05-09,KAU21,"20,500",-100,-0.49,"20,700","20,700","20,450","50,313","1,033,766,500","20,547"
2022-05-06,KAU21,"20,600",600,3,"20,000","20,600","20,000","32,100","652,431,500","20,325"
2022-05-04,KAU21,"20,000",-450,-2.2,"20,000","20,100","19,500","61,740","1,233,585,000","19,980"
2022-05-03,KAU21,"20,450",0,0,"20,300","20,500","20,250","95,443","1,941,755,550","20,345"
2022-05-02,KAU21,"20,450",-100,-0.49,"20,500","20,500","20,400","4,350","88,912,550","20,440"
2022-04-29,KAU21,"20,550",350,1.73,"20,000","20,550","20,000","75,404","1,533,300,950","20,334"
2022-04-28,KAU21,"20,200",200,1,"20,000","20,200","20,000","135,945","2,724,230,000","20,039"
2022-04-27,KAU21,"20,000",-450,-2.2,"20,200","20,200","19,800","71,466","1,429,455,000","20,002"
2022-04-26,KAU21,"20,450",-450,-2.15,"20,500","20,500","20,350","47,276","966,437,900","20,442"
2022-04-25,KAU21,"20,900",0,0,"20,800","20,900","20,800","28,394","592,759,600","20,876"
2022-04-22,KAU21,"20,900",300,1.46,"20,600","21,000","20,600","48,461","1,007,683,100","20,794"
2022-04-21,KAU21,"20,600",-200,-0.96,"20,750","20,800","20,500","57,070","1,178,617,650","20,652"
2022-04-20,KAU21,"20,800",-250,-1.19,"20,900","20,950","20,500","39,400","818,401,700","20,772"
2022-04-19,KAU21,"21,050",50,0.24,"21,050","21,050","20,950","49,010","1,028,955,500","20,995"
2022-04-18,KAU21,"21,000",50,0.24,"20,950","21,000","20,950","48,950","1,027,055,000","20,982"
2022-04-15,KAU21,"20,950",-50,-0.24,"20,500","21,000","20,500","39,402","818,459,450","20,772"
2022-04-14,KAU21,"21,000",0,0,"20,800","21,000","20,800","112,359","2,301,402,500","20,483"
2022-04-13,KAU21,"21,000",-200,-0.94,"21,150","21,150","21,000","23,840","502,640,000","21,084"
2022-04-12,KAU21,"21,200",200,0.95,"21,500","21,500","21,000","54,439","1,157,785,400","21,268"
2022-04-11,KAU21,"21,000",100,0.48,"20,700","21,000","20,700","74,259","1,555,458,100","20,946"
2022-04-08,KAU21,"20,900",-200,-0.95,"21,200","21,200","20,800","76,975","1,609,832,500","20,914"
2022-04-07,KAU21,"21,100",100,0.48,"20,950","21,150","20,950","26,224","550,787,600","21,003"
2022-04-06,KAU21,"21,000",0,0,"20,950","21,050","20,950","34,249","718,076,550","20,966"
2022-04-05,KAU21,"21,000",-400,-1.87,"21,000","21,000","20,400","80,771","1,665,617,600","20,621"
2022-04-04,KAU21,"21,400",-1400,-6.14,"22,000","22,500","21,400","84,702","1,867,652,500","22,050"
2022-04-01,KAU21,"22,800",-200,-0.87,"22,700","22,900","22,700","13,521","303,697,300","22,461"
2022-03-31,KAU21,"23,000",-400,-1.71,"22,500","23,000","22,300","53,789","1,223,873,000","22,753"
2022-03-30,KAU21,"23,400",-100,-0.43,"23,500","23,500","22,900","56,913","1,329,629,600","23,362"
2022-03-29,KAU21,"23,500",100,0.43,"23,400","23,500","23,300","58,162","1,364,693,900","23,464"
2022-03-28,KAU21,"23,400",150,0.65,"24,000","24,100","23,250","23,170","548,932,500","23,692"
2022-03-25,KAU21,"23,250",550,2.42,"22,800","23,700","22,800","50,100","1,170,340,000","23,360"
2022-03-24,KAU21,"22,700",1900,9.13,"21,000","22,800","21,000","50,001","1,106,496,800","22,129"
2022-03-23,KAU21,"20,800",400,1.96,"20,300","20,800","20,300","48,001","981,220,800","20,442"
2022-03-22,KAU21,"20,400",1150,5.97,"19,250","21,150","17,550","150,114","2,846,673,400","18,963"
2022-03-21,KAU21,"19,250",-2100,-9.84,"19,350","19,350","19,250","83,871","1,614,706,750","19,252"
2022-03-18,KAU21,"21,350",-2350,-9.92,"23,000","23,000","21,350","46,002","998,843,400","21,713"
2022-03-17,KAU21,"23,700",-1150,-4.63,"24,000","24,000","23,500","22,100","525,300,000","23,769"
2022-03-16,KAU21,"24,850",-850,-3.31,"25,550","25,550","24,500","42,890","1,065,922,000","24,852"
2022-03-15,KAU21,"25,700",-500,-1.91,"25,900","25,900","24,800","29,350","744,759,200","25,375"
2022-03-14,KAU21,"26,200",-200,-0.76,"26,400","26,400","26,000","46,100","1,203,415,000","26,104"
2022-03-11,KAU21,"26,400",-400,-1.49,"26,500","26,500","25,800","42,150","1,098,470,000","26,061"
2022-03-10,KAU21,"26,800",-1100,-3.94,"27,300","27,300","26,600","17,500","472,120,000","26,978"
2022-03-08,KAU21,"27,900",-900,-3.13,"28,700","28,700","27,500","77,980","2,177,664,000","27,926"
2022-03-07,KAU21,"28,800",-900,-3.03,"29,700","29,700","28,500","16,300","471,910,000","28,952"
2022-03-04,KAU21,"29,700",-100,-0.34,"29,900","29,900","29,500","27,700","824,065,000","29,750"
2022-03-03,KAU21,"29,800",-300,-1,"30,000","30,000","29,800","9,200","274,890,000","29,879"
2022-03-02,KAU21,"30,100",-100,-0.33,"30,200","30,200","30,100","4,510","135,951,000","30,144"
2022-02-28,KAU21,"30,200",100,0.33,"29,850","30,200","29,850","19,851","595,854,900","30,016"
2022-02-25,KAU21,"30,100",100,0.33,"29,950","30,100","29,900","23,400","701,980,000","29,999"
2022-02-24,KAU21,"30,000",50,0.17,"29,950","30,000","29,900","41,900","1,254,930,000","29,951"
2022-02-23,KAU21,"29,950",-50,-0.17,"29,900","30,000","29,800","64,400","1,927,830,000","29,935"
2022-02-22,KAU21,"30,000",0,0,"30,000","30,000","29,700","33,900","1,013,920,000","29,909"
2022-02-21,KAU21,"30,000",100,0.33,"28,500","30,000","28,500","27,848","822,466,000","29,534"
2022-02-18,KAU21,"29,900",-100,-0.33,"30,450","30,450","29,500","37,900","1,138,150,000","30,030"
2022-02-17,KAU21,"30,000",-500,-1.64,"30,000","30,000","28,500","36,300","1,070,365,000","29,487"
2022-02-16,KAU21,"30,500",-1300,-4.09,"31,300","31,300","30,500","24,373","753,261,500","30,906"
2022-02-15,KAU21,"31,800",-1500,-4.5,"33,000","33,000","31,800","46,700","1,515,220,000","32,446"
2022-02-14,KAU21,"33,300",-300,-0.89,"33,400","33,400","33,300","13,900","463,120,000","33,318"
2022-02-11,KAU21,"33,600",0,0,"33,700","33,700","33,600","19,500","655,970,000","33,639"
2022-02-10,KAU21,"33,600",-700,-2.04,"34,100","34,100","33,600","26,300","888,340,000","33,777"
2022-02-09,KAU21,"34,300",-350,-1.01,"34,650","34,650","34,300","24,200","834,830,000","34,497"
2022-02-08,KAU21,"34,650",-150,-0.43,"34,750","34,750","34,600","40,500","1,404,450,000","34,678"
2022-02-07,KAU21,"34,800",-100,-0.29,"34,850","34,850","34,750","9,180","319,439,000","34,797"
2022-02-04,KAU21,"34,900",-50,-0.14,"34,950","34,950","34,900","7,600","265,365,000","34,916"
2022-02-03,KAU21,"34,950",0,0,"35,150","35,150","34,950","9,200","322,090,000","35,010"
2022-01-28,KAU21,"34,950",100,0.29,"34,900","34,950","34,900","19,242","671,686,900","34,907"
2022-01-27,KAU21,"34,850",-150,-0.43,"34,900","34,900","34,850","36,900","1,287,710,000","34,897"
2022-01-26,KAU21,"35,000",50,0.14,"35,000","35,000","34,950","28,500","996,150,000","34,953"
2022-01-25,KAU21,"34,950",0,0,"34,950","34,950","34,900","13,048","455,775,200","34,931"
2022-01-24,KAU21,"34,950",-50,-0.14,"35,000","35,000","34,950","21,000","734,000,000","34,952"
2022-01-21,KAU21,"35,000",-100,-0.28,"35,000","35,050","35,000","40,300","1,410,875,000","35,009"
2022-01-20,KAU21,"35,100",100,0.29,"35,200","35,200","35,100","14,000","492,000,000","35,143"
2022-01-19,KAU21,"35,000",-200,-0.57,"35,200","35,200","35,000","8,000","280,825,000","35,103"
2022-01-18,KAU21,"35,200",-50,-0.14,"35,250","35,250","35,200","5,000","176,075,000","35,215"
2022-01-17,KAU21,"35,250",-100,-0.28,"35,350","35,400","35,250","10,300","363,750,000","35,316"
2022-01-14,KAU21,"35,350",-50,-0.14,"35,400","35,400","35,350","7,500","265,175,000","35,357"
2022-01-13,KAU21,"35,400",0,0,"35,450","35,450","35,350","20,250","717,010,000","35,408"
2022-01-12,KAU21,"35,400",0,0,"35,400","35,600","35,400","12,550","444,395,000","35,410"
2022-01-11,KAU21,"35,400",100,0.28,"35,400","35,500","35,400","14,700","520,905,000","35,436"
2022-01-10,KAU21,"35,300",-100,-0.28,"35,400","35,450","35,300","14,800","523,795,000","35,392"
2022-01-07,KAU21,"35,400",100,0.28,"35,350","35,400","35,300","11,500","406,175,000","35,320"
2022-01-06,KAU21,"35,300",250,0.71,"35,300","35,350","35,300","11,000","388,425,000","35,311"
2022-01-05,KAU21,"35,050",-50,-0.14,"35,250","35,300","35,050","8,000","281,875,000","35,234"
2022-01-04,KAU21,"35,100",0,0,"35,100","35,200","35,100","4,800","168,580,000","35,121"
2022-01-03,KAU21,"35,100",0,0,"35,100","35,100","35,100","4,200","147,420,000","35,100"
2021-12-30,KAU21,"35,100",50,0.14,"35,100","35,150","35,050","48,348","1,697,057,400","35,101"
2021-12-29,KAU21,"35,050",50,0.14,"35,100","35,100","35,000","103,408","3,624,792,600","35,053"
