-1.1327,-0.52298,-0.29073,0.074282,0.5727,1.8462
-1.2201,-0.54937,-0.30887,0.067011,0.57376,1.7519
-1.197,-0.34838,-0.13004,0.039364,0.42777,1.7896
-0.98027,-0.64476,-0.47084,0.077831,0.66532,2.0263
-1.0415,-0.7876,-0.62888,0.10236,0.74088,2.2164
-0.94759,-0.60689,-0.43815,0.073818,0.64314,1.8253
-0.99464,-0.4988,-0.31213,0.057181,0.57857,1.8682
-1.0635,-0.83092,-0.67853,0.089673,0.72881,2.0458
-0.97089,-0.73527,-0.58397,0.098239,0.71646,2.1035
-0.91097,-0.53293,-0.3701,0.067562,0.64531,1.9358
-1.1088,-0.6839,-0.4718,0.080194,0.66136,1.9578
-1.0037,-0.61843,-0.43511,0.071865,0.64122,1.9014
-1.0737,-0.85988,-0.71337,0.10543,0.75003,2.1304
-1.2173,-0.68026,-0.44521,0.091264,0.67703,1.9672
-1.0444,-0.79942,-0.641,0.08779,0.6983,2.0268
-1.0697,-0.57533,-0.37557,0.058254,0.60456,1.8827
-0.95617,-0.71446,-0.56983,0.083683,0.71326,2.0904
-0.97486,-0.62089,-0.44696,0.074038,0.66851,2.0073
